ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5901365_03/01/2008,68.1,24.935,1023.176025,34.753,5901365_03/01/2008,-14.052,93.301,2008-01-03,Indian Ocean
1900191_03/01/2008,179.0,9.463,1026.712036,34.577,1900191_03/01/2008,-45.557,87.255,2008-01-03,Indian Ocean
5901553_03/01/2008,558.9,9.761,1026.793945,34.745,5901553_03/01/2008,-31.545,99.375,2008-01-03,Indian Ocean
4900473_03/01/2008,999.9,1.843,1027.774048,34.738,4900473_03/01/2008,-56.389,98.138,2008-01-03,Indian Ocean
5901622_03/01/2008,139.4,17.484,1025.982056,35.76,5901622_03/01/2008,-35.044,118.961,2008-01-03,Indian Ocean
2900535_03/01/2008,1011.2,6.436,1027.44104,34.931,2900535_03/01/2008,5.177,90.422,2008-01-03,Bay of Bengal
2900537_03/01/2008,159.4,18.114,1025.243042,34.998,2900537_03/01/2008,8.201,85.654,2008-01-03,Bay of Bengal
5900032_03/01/2008,299.4,11.271,1026.563965,34.791,5900032_03/01/2008,-13.189,79.034,2008-01-03,Indian Ocean
1900193_03/01/2008,99.2,3.055,1026.94104,33.824,1900193_03/01/2008,-50.839,67.433,2008-01-03,Indian Ocean
2900533_03/01/2008,399.4,10.36,1026.911987,35.028,2900533_03/01/2008,0.531,88.391,2008-01-03,Equatorial Region
1900195_03/01/2008,499.3,12.441,1026.619019,35.148,1900195_03/01/2008,-33.603,53.011,2008-01-03,Indian Ocean
2901093_03/01/2008,78.7,24.341,1023.651978,35.146,2901093_03/01/2008,-5.401,39.319,2008-01-03,Equatorial Region
1900150_03/01/2008,359.4,13.109,1026.577026,35.265,1900150_03/01/2008,-35.084,65.67,2008-01-03,Indian Ocean
1900151_03/01/2008,7.5,12.146,1026.358032,34.738,1900151_03/01/2008,-41.527,105.313,2008-01-03,Indian Ocean
5900044_03/01/2008,1399.0,3.878,1027.546997,34.683,5900044_03/01/2008,-18.821,103.72,2008-01-03,Indian Ocean
